축제번호,축제명,소분류,개최장소,축제 기간,축제내용,주관기관,지역 코드
F0479,겨울왕국 제천페스티벌,문화,시내 및 의림지 일원,12,겨울벚꽃 및 얼음 축제,(재)제천문화재단,K03
F0480,제16회 제천국제음악영화제,문화,"시내일원,청풍면,의림지",8,○ 핵심프로그램 : 개폐막식| 원썸머나잇| 의림썸머나잇○ 영화프로그램 : 음악을 주제로 한 영화상영(100여편)○ 음악프로그램 : 30여개 팀 공연 ○ 특별프로그램 : 거리의 악사 페스티벌| 제천영화음악제 아카데미|                                                        제천영화음악상| JIMFF포럼|  JIMFF동네극장 등,사단법인제천국제음악영화제,K03
F0481,제24회 청풍호 벚꽃축제,꽃놀이,청풍문화마을 및 제천시 일원,4,○ 핵심프로그램 : 개막식| 벚꽃축제 기념콘서트 등○ 상설 공연행사 : 지역문화예술단체 공연○ 전시 및 체험프로그램 운영 : 30여개 전시 및 체험프로그램○ 특별프로그램 : 청풍호 벚꽃쉼터| 시민 벚꽃길 걷기행사 등,재단법인제천문화재단,K03
F0482,제천겨울왕국페스티벌 시즌2,문화,시내 및 의림지 일원,12,○ 벚꽃 등의 LED조명 전시행사○ 벚꽃듀오가요제| 프로포즈 이벤트| 버스킹 공연 등○ 얼음성| 겨울빛 순주섬 전시행사○ 공어낚시| 아이스스노우 슬라이딩| 눈썰매| 얼음자전거 체험행사 등,재단법인제천문화재단,K03
F0483,제천국제음악영화제,문화,"시내일원,청풍면,의림지",8,음악영화제,제천국제음악영화제집행위원회,K03
F0484,제천의병제,문화,구동명초부지,10,의병제,(재)제천문화재단,K03
F0485,청풍호벚꽃축제,꽃놀이,청풍면,4,벚꽃축제,(재)제천문화재단,K03
F0486,2020 보은대추축제,문화,보은읍 뱃들공원,10,○ 전국 제일의 맛을 자랑하는 보은 대추·청정농특산물    실비판매| 다채로운 문화행사 체험○ 개폐막 공연| 주제공연 및 문화공연○ 기타 특별행사 및 전시 등,보은군축제추진위원회,K04
F0487,보은대추축제,문화,보은읍 뱃들공원,10,각종 문화예술공연 및 체험전시| 대추 및 농특산물 전시판매| 전국 민속 소싸움 대회 및 속리산 단풍가요제 등,충청북도 보은군청,K04
F0488,속리산 신(神) 축제,문화,"속리산 잔디공원, 법주사, 훈민정음 마당",5,천왕봉 산신제| 알프스 등반대회| 민속예술경연대회| 비빔밥 나눠먹기 체험 등,신(神) 축제 추진위원회,K04
F0489,속리산 신화여행축제,문화,"속리산 잔디공원, 법주사, 훈민정음 마당",7,○ 속리산 산신제 및 영신행차 ○ 천왕봉 산신제와 지역 역사 및 전통문화를 융합한      공연| 전시| 체험 프로그램 운영 ○ 개막공연| 전통문화공연 등 20여개 프로그램,속리산 신화여행축제 추진위원회,K04
F0490,제18회 보은동학제,역사,"장안면 장내리, 뱃들공원, 동학농민혁명기념공원",4,○ 장안취회| 위령제| 동학세미나 ○ 동학백일장| 동학퀴즈| 동학 체험행사 등,보은문화원,K04
F0491,제25회 오장환문학제,문화,오장환문학관 등,10,○ 오장환문학상 및 오장환신인문학상 시상○ 문학강연| 문학기행| 저명 작가와의 만남의 장○ 충북 초중학생 백일장 및 체험부스 운영,보은문화원,K04
F0492,감자옥수수 축제,먹거리,현리 생태공원 일원,7,감자옥수수 홍보 판매,옥수수·감자축제 위원회,K05
F0493,옥천깻잎축제,먹거리,군서초등학교 일원,6,깻잎 홍보 판매,옥천깻잎작목반연합회,K05
F0494,제12회 옥천참옻축제,문화,옥천 지용문학공원 일원,4,○ 옥천 참옻 홍보 및 판매○ 공연| 전시 및 체험행사 등,옥천참옻축제추진위원회,K05
F0495,제14회 향수옥천 포도복숭아축제,먹거리,옥천군 옥천공설운동장,7,○ 옥천 포도복숭아 역사전시관○ 포도따기 체험| 품종 전시관 운영 등○ 개막축하음악회| 청소년페스티벌| 가요제 등 문화공연○ 기타 보조무대 공연 및 체험행사 운영 등,옥천군 농업기술센터친환경농축산과,K05
